dataset|column|type|uncompressed_size|scheme|block_size|nullable|compressed_size|compressed_header|compressed_payload|compression_ratio
/raid0/schmitt/tinyblocks/data/tpch/sf10_int/orders.tbl|0|int|60002304|tinyblocks|64|false|13593831|2109456|11484375|4.41394
/raid0/schmitt/tinyblocks/data/tpch/sf10_int/orders.tbl|0|int|60002304|tinyblocks|128|false|10546956|1054728|9492228|5.68906
/raid0/schmitt/tinyblocks/data/tpch/sf10_int/orders.tbl|0|int|60002304|tinyblocks|256|false|9960998|527364|9433634|6.02372
/raid0/schmitt/tinyblocks/data/tpch/sf10_int/orders.tbl|0|int|60002304|tinyblocks|512|false|9668019|263682|9404337|6.20627
/raid0/schmitt/tinyblocks/data/tpch/sf10_int/orders.tbl|0|int|60002304|btrblocks1|64|false|9504088|0|9504088|6.31332
/raid0/schmitt/tinyblocks/data/tpch/sf10_int/orders.tbl|0|int|60002304|btrblocks2|64|false|9504088|0|9504088|6.31332
/raid0/schmitt/tinyblocks/data/tpch/sf10_int/orders.tbl|0|int|60002304|btrblocks3|64|false|9504088|0|9504088|6.31332
/raid0/schmitt/tinyblocks/data/tpch/sf10_int/orders.tbl|1|int|60002304|tinyblocks|64|false|43359456|2109456|41250000|1.38383
/raid0/schmitt/tinyblocks/data/tpch/sf10_int/orders.tbl|1|int|60002304|tinyblocks|128|false|40429789|1054728|39375061|1.48411
/raid0/schmitt/tinyblocks/data/tpch/sf10_int/orders.tbl|1|int|60002304|tinyblocks|256|false|39902489|527364|39375125|1.50372
/raid0/schmitt/tinyblocks/data/tpch/sf10_int/orders.tbl|1|int|60002304|tinyblocks|512|false|39638850|263682|39375168|1.51372
/raid0/schmitt/tinyblocks/data/tpch/sf10_int/orders.tbl|1|int|60002304|btrblocks1|64|false|39848852|0|39848852|1.50575
/raid0/schmitt/tinyblocks/data/tpch/sf10_int/orders.tbl|1|int|60002304|btrblocks2|64|false|39848852|0|39848852|1.50575
/raid0/schmitt/tinyblocks/data/tpch/sf10_int/orders.tbl|1|int|60002304|btrblocks3|64|false|39848852|0|39848852|1.50575
/raid0/schmitt/tinyblocks/data/tpch/sf10_int/orders.tbl|2|int|60002304|tinyblocks|64|false|2109456|2109456|0|28.4444
/raid0/schmitt/tinyblocks/data/tpch/sf10_int/orders.tbl|2|int|60002304|tinyblocks|128|false|1054728|1054728|0|56.8889
/raid0/schmitt/tinyblocks/data/tpch/sf10_int/orders.tbl|2|int|60002304|tinyblocks|256|false|527364|527364|0|113.778
/raid0/schmitt/tinyblocks/data/tpch/sf10_int/orders.tbl|2|int|60002304|tinyblocks|512|false|263682|263682|0|227.556
/raid0/schmitt/tinyblocks/data/tpch/sf10_int/orders.tbl|2|int|60002304|btrblocks1|64|false|1832|0|1832|32752.3
/raid0/schmitt/tinyblocks/data/tpch/sf10_int/orders.tbl|2|int|60002304|btrblocks2|64|false|1832|0|1832|32752.3
/raid0/schmitt/tinyblocks/data/tpch/sf10_int/orders.tbl|2|int|60002304|btrblocks3|64|false|1832|0|1832|32752.3
/raid0/schmitt/tinyblocks/data/tpch/sf10_int/part.tbl|0|int|8003584|tinyblocks|64|false|281376|281376|0|28.4444
/raid0/schmitt/tinyblocks/data/tpch/sf10_int/part.tbl|0|int|8003584|tinyblocks|128|false|140688|140688|0|56.8889
/raid0/schmitt/tinyblocks/data/tpch/sf10_int/part.tbl|0|int|8003584|tinyblocks|256|false|70441|70344|97|113.621
/raid0/schmitt/tinyblocks/data/tpch/sf10_int/part.tbl|0|int|8003584|tinyblocks|512|false|35365|35172|193|226.314
/raid0/schmitt/tinyblocks/data/tpch/sf10_int/part.tbl|0|int|8003584|btrblocks1|64|false|767240|0|767240|10.4317
/raid0/schmitt/tinyblocks/data/tpch/sf10_int/part.tbl|0|int|8003584|btrblocks2|64|false|767240|0|767240|10.4317
/raid0/schmitt/tinyblocks/data/tpch/sf10_int/part.tbl|0|int|8003584|btrblocks3|64|false|767240|0|767240|10.4317
/raid0/schmitt/tinyblocks/data/tpch/sf10_int/part.tbl|1|int|8003584|tinyblocks|64|false|1781376|281376|1500000|4.49292
/raid0/schmitt/tinyblocks/data/tpch/sf10_int/part.tbl|1|int|8003584|tinyblocks|128|false|1640688|140688|1500000|4.87819
/raid0/schmitt/tinyblocks/data/tpch/sf10_int/part.tbl|1|int|8003584|tinyblocks|256|false|1570430|70344|1500086|5.09643
/raid0/schmitt/tinyblocks/data/tpch/sf10_int/part.tbl|1|int|8003584|tinyblocks|512|false|1535282|35172|1500110|5.2131
/raid0/schmitt/tinyblocks/data/tpch/sf10_int/part.tbl|1|int|8003584|btrblocks1|64|false|1563584|0|1563584|5.11874
/raid0/schmitt/tinyblocks/data/tpch/sf10_int/part.tbl|1|int|8003584|btrblocks2|64|false|1569939|0|1569939|5.09802
/raid0/schmitt/tinyblocks/data/tpch/sf10_int/part.tbl|1|int|8003584|btrblocks3|64|false|1569939|0|1569939|5.09802
/raid0/schmitt/tinyblocks/data/tpch/sf10_int/partsupp.tbl|0|int|32002048|tinyblocks|64|false|3250072|1125072|2125000|9.84657
/raid0/schmitt/tinyblocks/data/tpch/sf10_int/partsupp.tbl|0|int|32002048|tinyblocks|128|false|1625036|562536|1062500|19.6931
/raid0/schmitt/tinyblocks/data/tpch/sf10_int/partsupp.tbl|0|int|32002048|tinyblocks|256|false|1312518|281268|1031250|24.3822
/raid0/schmitt/tinyblocks/data/tpch/sf10_int/partsupp.tbl|0|int|32002048|tinyblocks|512|false|1156259|140634|1015625|27.6772
/raid0/schmitt/tinyblocks/data/tpch/sf10_int/partsupp.tbl|0|int|32002048|btrblocks1|64|false|1068848|0|1068848|29.9407
/raid0/schmitt/tinyblocks/data/tpch/sf10_int/partsupp.tbl|0|int|32002048|btrblocks2|64|false|1066687|0|1066687|30.0013
/raid0/schmitt/tinyblocks/data/tpch/sf10_int/partsupp.tbl|0|int|32002048|btrblocks3|64|false|1069085|0|1069085|29.9341
/raid0/schmitt/tinyblocks/data/tpch/sf10_int/partsupp.tbl|1|int|32002048|tinyblocks|64|false|19125072|1125072|18000000|1.6733
/raid0/schmitt/tinyblocks/data/tpch/sf10_int/partsupp.tbl|1|int|32002048|tinyblocks|128|false|17562536|562536|17000000|1.82218
/raid0/schmitt/tinyblocks/data/tpch/sf10_int/partsupp.tbl|1|int|32002048|tinyblocks|256|false|17281268|281268|17000000|1.85183
/raid0/schmitt/tinyblocks/data/tpch/sf10_int/partsupp.tbl|1|int|32002048|tinyblocks|512|false|17140634|140634|17000000|1.86703
/raid0/schmitt/tinyblocks/data/tpch/sf10_int/partsupp.tbl|1|int|32002048|btrblocks1|64|false|17253072|0|17253072|1.85486
/raid0/schmitt/tinyblocks/data/tpch/sf10_int/partsupp.tbl|1|int|32002048|btrblocks2|64|false|17253072|0|17253072|1.85486
/raid0/schmitt/tinyblocks/data/tpch/sf10_int/partsupp.tbl|1|int|32002048|btrblocks3|64|false|17253072|0|17253072|1.85486
/raid0/schmitt/tinyblocks/data/tpch/sf10_int/partsupp.tbl|2|int|32002048|tinyblocks|64|false|15125072|1125072|14000000|2.11583
/raid0/schmitt/tinyblocks/data/tpch/sf10_int/partsupp.tbl|2|int|32002048|tinyblocks|128|false|14562536|562536|14000000|2.19756
/raid0/schmitt/tinyblocks/data/tpch/sf10_int/partsupp.tbl|2|int|32002048|tinyblocks|256|false|14281268|281268|14000000|2.24084
/raid0/schmitt/tinyblocks/data/tpch/sf10_int/partsupp.tbl|2|int|32002048|tinyblocks|512|false|14140634|140634|14000000|2.26313
/raid0/schmitt/tinyblocks/data/tpch/sf10_int/partsupp.tbl|2|int|32002048|btrblocks1|64|false|14251132|0|14251132|2.24558
/raid0/schmitt/tinyblocks/data/tpch/sf10_int/partsupp.tbl|2|int|32002048|btrblocks2|64|false|14251132|0|14251132|2.24558
/raid0/schmitt/tinyblocks/data/tpch/sf10_int/partsupp.tbl|2|int|32002048|btrblocks3|64|false|14251132|0|14251132|2.24558
/raid0/schmitt/tinyblocks/data/tpch/sf10_int/region.tbl|0|int|4096|tinyblocks|64|false|167|144|23|24.5269
/raid0/schmitt/tinyblocks/data/tpch/sf10_int/region.tbl|0|int|4096|tinyblocks|128|false|98|72|26|41.7959
/raid0/schmitt/tinyblocks/data/tpch/sf10_int/region.tbl|0|int|4096|tinyblocks|256|false|66|36|30|62.0606
/raid0/schmitt/tinyblocks/data/tpch/sf10_int/region.tbl|0|int|4096|tinyblocks|512|false|56|18|38|73.1429
/raid0/schmitt/tinyblocks/data/tpch/sf10_int/region.tbl|0|int|4096|btrblocks1|64|false|45|0|45|91.0222
/raid0/schmitt/tinyblocks/data/tpch/sf10_int/nation.tbl|0|int|4096|tinyblocks|64|false|177|144|33|23.1412
/raid0/schmitt/tinyblocks/data/tpch/sf10_int/nation.tbl|0|int|4096|tinyblocks|128|false|121|72|49|33.8512
/raid0/schmitt/tinyblocks/data/tpch/sf10_int/nation.tbl|0|int|4096|tinyblocks|256|false|91|36|55|45.011
/raid0/schmitt/tinyblocks/data/tpch/sf10_int/nation.tbl|0|int|4096|tinyblocks|512|false|98|18|80|41.7959
/raid0/schmitt/tinyblocks/data/tpch/sf10_int/nation.tbl|0|int|4096|btrblocks1|64|false|125|0|125|32.768
/raid0/schmitt/tinyblocks/data/tpch/sf10_int/nation.tbl|1|int|4096|tinyblocks|64|false|176|144|32|23.2727
/raid0/schmitt/tinyblocks/data/tpch/sf10_int/nation.tbl|1|int|4096|tinyblocks|128|false|103|72|31|39.767
/raid0/schmitt/tinyblocks/data/tpch/sf10_int/nation.tbl|1|int|4096|tinyblocks|256|false|71|36|35|57.6901
/raid0/schmitt/tinyblocks/data/tpch/sf10_int/nation.tbl|1|int|4096|tinyblocks|512|false|78|18|60|52.5128
/raid0/schmitt/tinyblocks/data/tpch/sf10_int/nation.tbl|1|int|4096|btrblocks1|64|false|218|0|218|18.789
/raid0/schmitt/tinyblocks/data/tpch/sf10_int/lineitem.tbl|0|int|239947776|tinyblocks|64|false|42222095|8435664|33786431|5.68299
/raid0/schmitt/tinyblocks/data/tpch/sf10_int/lineitem.tbl|0|int|239947776|tinyblocks|128|false|32304400|4217832|28086568|7.42771
/raid0/schmitt/tinyblocks/data/tpch/sf10_int/lineitem.tbl|0|int|239947776|tinyblocks|256|false|28038391|2108916|25929475|8.55783
/raid0/schmitt/tinyblocks/data/tpch/sf10_int/lineitem.tbl|0|int|239947776|tinyblocks|512|false|27803814|1054458|26749356|8.63003
/raid0/schmitt/tinyblocks/data/tpch/sf10_int/lineitem.tbl|0|int|239947776|btrblocks1|64|false|26136436|0|26136436|9.18059
/raid0/schmitt/tinyblocks/data/tpch/sf10_int/lineitem.tbl|0|int|239947776|btrblocks2|64|false|21876660|0|21876660|10.9682
/raid0/schmitt/tinyblocks/data/tpch/sf10_int/lineitem.tbl|0|int|239947776|btrblocks3|64|false|21912252|0|21912252|10.9504
/raid0/schmitt/tinyblocks/data/tpch/sf10_int/lineitem.tbl|1|int|239947776|tinyblocks|64|false|173397335|8435664|164961671|1.3838
/raid0/schmitt/tinyblocks/data/tpch/sf10_int/lineitem.tbl|1|int|239947776|tinyblocks|128|false|161681249|4217832|157463417|1.48408
/raid0/schmitt/tinyblocks/data/tpch/sf10_int/lineitem.tbl|1|int|239947776|tinyblocks|256|false|159572397|2108916|157463481|1.50369
/raid0/schmitt/tinyblocks/data/tpch/sf10_int/lineitem.tbl|1|int|239947776|tinyblocks|512|false|158518012|1054458|157463554|1.51369
/raid0/schmitt/tinyblocks/data/tpch/sf10_int/lineitem.tbl|1|int|239947776|btrblocks1|64|false|159354868|0|159354868|1.50574
/raid0/schmitt/tinyblocks/data/tpch/sf10_int/lineitem.tbl|1|int|239947776|btrblocks2|64|false|159354868|0|159354868|1.50574
/raid0/schmitt/tinyblocks/data/tpch/sf10_int/lineitem.tbl|1|int|239947776|btrblocks3|64|false|159354868|0|159354868|1.50574
/raid0/schmitt/tinyblocks/data/tpch/sf10_int/lineitem.tbl|2|int|239947776|tinyblocks|64|false|143404311|8435664|134968647|1.67323
/raid0/schmitt/tinyblocks/data/tpch/sf10_int/lineitem.tbl|2|int|239947776|tinyblocks|128|false|131688225|4217832|127470393|1.82209
/raid0/schmitt/tinyblocks/data/tpch/sf10_int/lineitem.tbl|2|int|239947776|tinyblocks|256|false|129579373|2108916|127470457|1.85174
/raid0/schmitt/tinyblocks/data/tpch/sf10_int/lineitem.tbl|2|int|239947776|tinyblocks|512|false|128524972|1054458|127470514|1.86694
/raid0/schmitt/tinyblocks/data/tpch/sf10_int/lineitem.tbl|2|int|239947776|btrblocks1|64|false|129361392|0|129361392|1.85486
/raid0/schmitt/tinyblocks/data/tpch/sf10_int/lineitem.tbl|2|int|239947776|btrblocks2|64|false|129361392|0|129361392|1.85486
/raid0/schmitt/tinyblocks/data/tpch/sf10_int/lineitem.tbl|2|int|239947776|btrblocks3|64|false|129361392|0|129361392|1.85486
/raid0/schmitt/tinyblocks/data/tpch/sf10_int/lineitem.tbl|3|int|239947776|tinyblocks|64|false|38428688|8435664|29993024|6.24398
/raid0/schmitt/tinyblocks/data/tpch/sf10_int/lineitem.tbl|3|int|239947776|tinyblocks|128|false|26712625|4217832|22494793|8.98256
/raid0/schmitt/tinyblocks/data/tpch/sf10_int/lineitem.tbl|3|int|239947776|tinyblocks|256|false|24603732|2108916|22494816|9.7525
/raid0/schmitt/tinyblocks/data/tpch/sf10_int/lineitem.tbl|3|int|239947776|tinyblocks|512|false|23549319|1054458|22494861|10.1892
/raid0/schmitt/tinyblocks/data/tpch/sf10_int/lineitem.tbl|3|int|239947776|btrblocks1|64|false|24384316|0|24384316|9.84025
/raid0/schmitt/tinyblocks/data/tpch/sf10_int/lineitem.tbl|3|int|239947776|btrblocks2|64|false|24405788|0|24405788|9.83159
/raid0/schmitt/tinyblocks/data/tpch/sf10_int/lineitem.tbl|3|int|239947776|btrblocks3|64|false|24405788|0|24405788|9.83159
/raid0/schmitt/tinyblocks/data/tpch/sf10_int/lineitem.tbl|4|int|239947776|tinyblocks|64|false|53425223|8435664|44989559|4.49128
/raid0/schmitt/tinyblocks/data/tpch/sf10_int/lineitem.tbl|4|int|239947776|tinyblocks|128|false|49207393|4217832|44989561|4.87625
/raid0/schmitt/tinyblocks/data/tpch/sf10_int/lineitem.tbl|4|int|239947776|tinyblocks|256|false|47098540|2108916|44989624|5.09459
/raid0/schmitt/tinyblocks/data/tpch/sf10_int/lineitem.tbl|4|int|239947776|tinyblocks|512|false|46044106|1054458|44989648|5.21126
/raid0/schmitt/tinyblocks/data/tpch/sf10_int/lineitem.tbl|4|int|239947776|btrblocks1|64|false|46879236|0|46879236|5.11842
/raid0/schmitt/tinyblocks/data/tpch/sf10_int/lineitem.tbl|4|int|239947776|btrblocks2|64|false|47067012|0|47067012|5.098
/raid0/schmitt/tinyblocks/data/tpch/sf10_int/lineitem.tbl|4|int|239947776|btrblocks3|64|false|47067012|0|47067012|5.098
/raid0/schmitt/tinyblocks/data/tpch/sf10_int/customer.tbl|0|int|6000640|tinyblocks|64|false|210993|210960|33|28.44
/raid0/schmitt/tinyblocks/data/tpch/sf10_int/customer.tbl|0|int|6000640|tinyblocks|128|false|105529|105480|49|56.8625
/raid0/schmitt/tinyblocks/data/tpch/sf10_int/customer.tbl|0|int|6000640|tinyblocks|256|false|52837|52740|97|113.569
/raid0/schmitt/tinyblocks/data/tpch/sf10_int/customer.tbl|0|int|6000640|tinyblocks|512|false|26563|26370|193|225.902
/raid0/schmitt/tinyblocks/data/tpch/sf10_int/customer.tbl|0|int|6000640|btrblocks1|64|false|575424|0|575424|10.4282
/raid0/schmitt/tinyblocks/data/tpch/sf10_int/customer.tbl|0|int|6000640|btrblocks2|64|false|575424|0|575424|10.4282
/raid0/schmitt/tinyblocks/data/tpch/sf10_int/customer.tbl|0|int|6000640|btrblocks3|64|false|575424|0|575424|10.4282
/raid0/schmitt/tinyblocks/data/tpch/sf10_int/customer.tbl|1|int|6000640|tinyblocks|64|false|1335984|210960|1125024|4.49155
/raid0/schmitt/tinyblocks/data/tpch/sf10_int/customer.tbl|1|int|6000640|tinyblocks|128|false|1043000|105480|937520|5.75325
/raid0/schmitt/tinyblocks/data/tpch/sf10_int/customer.tbl|1|int|6000640|tinyblocks|256|false|990316|52740|937576|6.05932
/raid0/schmitt/tinyblocks/data/tpch/sf10_int/customer.tbl|1|int|6000640|tinyblocks|512|false|963970|26370|937600|6.22492
/raid0/schmitt/tinyblocks/data/tpch/sf10_int/customer.tbl|1|int|6000640|btrblocks1|64|false|984848|0|984848|6.09296
/raid0/schmitt/tinyblocks/data/tpch/sf10_int/customer.tbl|1|int|6000640|btrblocks2|64|false|987263|0|987263|6.07806
/raid0/schmitt/tinyblocks/data/tpch/sf10_int/customer.tbl|1|int|6000640|btrblocks3|64|false|987263|0|987263|6.07806
/raid0/schmitt/tinyblocks/data/tpch/sf10_int/supplier.tbl|0|int|401408|tinyblocks|64|false|14145|14112|33|28.3781
/raid0/schmitt/tinyblocks/data/tpch/sf10_int/supplier.tbl|0|int|401408|tinyblocks|128|false|7105|7056|49|56.4966
/raid0/schmitt/tinyblocks/data/tpch/sf10_int/supplier.tbl|0|int|401408|tinyblocks|256|false|3625|3528|97|110.733
/raid0/schmitt/tinyblocks/data/tpch/sf10_int/supplier.tbl|0|int|401408|tinyblocks|512|false|1957|1764|193|205.114
/raid0/schmitt/tinyblocks/data/tpch/sf10_int/supplier.tbl|0|int|401408|btrblocks1|64|false|38396|0|38396|10.4544
